,context_1,context_2,context_3,question_1,question_2,question_3,answerA_1,answerA_2,answerA_3,answerB_1,answerB_2,answerB_3,answerC_1,answerC_2,answerC_3,correct
8954,O Remy pediu dinheiro emprestado ao Kendall para pagar a conta.,Remy tinha emprestado dinheiro do Quênia para pagar o seu projeto de lei e Remy pagou o,O Remy pediu dinheiro emprestado à Kendall para pagar a conta e devolveu-lhe imediatamente.,Como você descreveria Remy?,Como descreveria a Remy?,Como descreveria o Remy?,Preguiçosa,preguiça,preguiçoso,Responsáveis,responsável,responsável,indigno de confiança,infiscabilidade,não confiável,B
8955,"Em seu artigo, Delaware deu ao leitor uma análise completa da perspectiva de Riley.","Em seu artigo, Delaware deu ao leitor uma análise minuciosa da perspectiva de Riley.","No artigo, Delaware deu ao leitor uma análise completa da perspectiva de Riley.",Como você descreveria Delaware?,Como descreveria Delaware?,Como descreveria Delaware?,Dúvidas sobre Riley?,ser-lhes- á perguntado sobre Riley,- Não .,Apreciar a perspectiva de Riley,apreciar a perspectiva de Riley,- Não. - Não.,um escritor que entrevistou Riley,um escritor que tenha entrevistado Riley,Um escritor que entrevistou Riley.,C
8956,"Quando Jan fez o discurso no trabalho, ela disse tudo de uma maneira que era vigorosa e agressiva.","Quando Jan fez o discurso no trabalho, disse tudo de forma forçosa e agressiva.","Quando Jan fazia o discurso no trabalho, ela dizia tudo de uma maneira que era forte e agressiva.",O que seus colegas de trabalho vão querer fazer a seguir?,O que os colegas querem fazer?,O que vão os colegas dela querer fazer a seguir?,Afogar e evitar fazer o trabalho,sulco e evitar fazer o trabalho,Chatear-se e evitar fazer o trabalho,Protestar e reclamar sobre o trabalho,protesto e queixa sobre o trabalho,Protestar e reclamar do trabalho,Trabalhe mais e com mais entusiasmo,trabalhar mais e mais entusiasmo,Trabalhar mais duro e com mais entusiasmo,B
8957,"Sasha não conseguia segurar ninguém, então Sasha jogou basquete sozinho.","Sasha não conseguiu pegar um êmbolo de ninguém, assim Sasha jogou o basquete","Sasha não conseguiu contactar ninguém, por isso, ele jogou basquetebol sozinho.",Como você descreveria Sasha?,Como descreveria Sasha?,Como descreveria a Sasha?,friendless,Sem amizade,sem amigos.,Atlético,Atlético,Atlético,Melancolia,Melancolia,Melancolia,B
8958,A Addison deu segurança à Riley para que eles jantassem a tempo.,Addison deu a segurança de Riley de que teriam o jantar no momento.,A Addison garantiu à Riley que iam jantar a tempo.,Como se sentiria a Addison depois?,Como senti-lo-ia depois?,Como se sentiria a Addison depois?,melhor,melhor,melhor,Como se pudessem jantar a qualquer hora,Como poderiam ter o jantar em qualquer momento,Como se pudessem jantar a qualquer hora.,Planejar o jantar a tempo,planeamento para o jantar no tempo,planejar o jantar a tempo,A
8959,Bailey guiou Jan ainda mais vigorosamente para onde o pátio está.,Bailey orientou Jan ainda mais fortemente para onde o patio está.,Bailey guiou a Jan ainda mais com força até onde está o pátio.,Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,forçoso,,Forçado,Uma pessoa forte e mesquinha,um homem forte,Uma pessoa violenta e má.,irritada,irritação,irritado,B
8960,"Alex encontrou uma casa de sonho no centro de São Francisco com pisos de madeira, uma cozinha profissionalmente equipada e piscina no quintal. Com US $ 5 milhões, estava bem abaixo do orçamento planejado de Alex.","Alex encontrou uma casa de sonho no centro de São Francisco com pisos de madeira, cozinha e","Alex encontrou uma casa dos sonhos no centro de São Francisco, com pisos de madeira, uma cozinha e uma piscina no quintal, que custavam US$ 5 milhões, bem abaixo do orçamento planejado por Alex.",Como você descreveria Alex?,Como descrever Alex?,Como descreveria o Alex?,ecstatic,ectásico,extático,Sem-abrigo,PSR,Sem-abrigo,Riqueza,Rica,- Rico.,C
8961,Bailey deu uma gorjeta nas balanças com seu peso e recebeu um aviso severo sobre sua saúde.,Bailey fez a ponta das escalas com seu peso e recebeu um alerta de uma régua sobre,Bailey inclinou a balança com o seu peso e recebeu um aviso severo sobre a sua saúde.,O que acontecerá com os outros?,O que acontecerá com os outros?,O que acontecerá aos Outros?,Tome medidas para se tornar saudável,tomar medidas para tornar- se saudável,tomar medidas para se tornar saudável,Outros encorajarão Bailey a perder peso,Outros incentivarão a Bailey a perder peso,Outros vão encorajar Bailey a perder peso,Outros vão empurrar Bailey para comer mais,Outros pressionarão Bailey a comer mais,Outros vão pressionar Bailey a comer mais.,B
8962,Cameron estava tentando fazer o trabalho e ele encontrou uma maneira.,Cameron estava tentando conseguir o trabalho e encontrou uma maneira.,O Cameron estava a tentar fazer o trabalho e ele encontrou uma maneira.,O que Cameron precisa fazer antes disso?,O que é necessário para Cameron diante disso?,O que é que a Cameron precisa de fazer antes disto?,Termine sua tarefa,Terminado o seu trabalho,Acaba a tarefa dele.,Tenha uma ideia de como terminar o trabalho,têm uma ideia sobre como terminar o trabalho,ter uma ideia de como terminar o trabalho,Plano para o próximo passo,Plano para a próxima etapa,Planejar o próximo passo,B
8963,Remy comprou uma jaqueta nova e a colocou em seu armário e nunca a usou.,Remy comprou uma nova camisa e colocou-a no armário e nunca usou.,O Remy comprou um casaco novo e colocou-o no armário deles e nunca o usou.,O que vai acontecer com Remy?,O que vai acontecer com a Remy?,O que vai acontecer ao Remy?,Não pense no casaco,não pensam sobre o Jacket,Não penses no casaco.,ser triste,ser triste,- Não .,Nunca veja o casaco,nunca ver o Jacket,Nunca ver o casaco .,A
8964,"Aubrey estava andando pelo bairro, então ela viu um homem velho.","aubrey estava caminhando no bairro, então viu um homem velho.",A Aubrey estava a passear pelo bairro e viu um velho.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,Assediar o velho,assédio ao velho,Assediar o velho .,Roubar o velho,roubo do velho,Roubar o velho .,Continue andando,manter a caminhada,Continua a andar.,C
8965,"Remy está montando sacos de presente para seu casamento em dois dias. Depois de terminar 150 de 170 deles, Remy preparou mais um saco de presente.","Remy está colocando em dois dias sacos de presente para o casamento, e depois de concluído","Remy está a montar sacos de presentes para o casamento deles em dois dias. Depois de terminar 150 de 170 deles, Remy preparou mais um saco de presentes.",O que Remy vai querer fazer a seguir?,O que queremos?,O que é que o Remy vai querer fazer a seguir?,juntar outro saco de presente,coloque outro saco de presente,juntar outra bolsa de presente,comprar os suprimentos para os sacos,compra dos suprimentos para os sacos,Compre os suprimentos para os sacos.,Obtenha um número de participantes do casamento,obter um chefe de casamento dos participantes,Obter um número de convidados para o casamento,A
8966,"Kai trabalha para sua comida chinesa local como motorista de entrega e como eles estavam trabalhando hoje à noite, eles dirigiram para um endereço para entregar a comida, em seguida, Kai deng a campainha.","O Kai trabalha para a sua tomada de comida por parte de seus chineses locais e, como trabalhavam","O Kai trabalha para o restaurante chinês local como motorista de entregas e enquanto trabalhavam esta noite, dirigiram-se a uma morada para entregar a comida e o Kai tocou no sino.",O que Kai vai querer fazer a seguir?,O que o Kai quer fazer em seguida?,O que vai o Kai querer fazer a seguir?,bater na janela,pressione na janela,Batem na janela .,Entregar a comida,ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad,Entregar a comida.,Não espere que alguém responda,não esperar que alguém responda,Não esperar que alguém responda.,B
8967,A Addison adorava tanto bolo que comeu todo o bolo de aniversário da Kai.,Addison gostava de torta tanto que comia toda torta de aniversário do Kai.,A Addison adorava tanto bolo que comeu todo o bolo de aniversário do Kai.,O que vai acontecer com Kai?,O que acontecerá com o Kai?,O que vai acontecer ao Kai?,comprar o bolo,compra da torta,Compra o bolo.,Coma o bolo,coma a torta,Come o bolo.,ficar com raiva,ser irritado,Fica zangado.,C
8968,"O rosto de Quinn estava coberto de molho de pizza, então Kendall fez Quinn usar um guardanapo.","A face do Quinn foi coberta com molho pizza, assim Kendall fez com que","O rosto do Quinn estava coberto de molho de pizza, por isso a Kendall fez o Quinn usar um guardanapo.",Como isso vai fazer Kendall se sentir?,Como isso vai fazer com que Kendall sinta?,Como é que isto vai fazer a Kendall sentir-se?,tal slob,tal declive,Que trapalhão.,chateado que Kendall ordenou-lhe ao redor,Incômodo que Kendall lhe ordenou,Estou chateado por o Kendall o ter mandado andar por aí.,Como Quinn deveria ter pizza melhor,como Quinn deve ter melhor pizza,Como se o Quinn tivesse uma pizza melhor.,A
8969,Jesse montou uma montanha-russa logo depois de comer uma refeição muito grande.,Jesse rodeia uma taça de rolos logo após comer uma refeição muito grande.,O Jesse montou numa montanha-russa logo depois de comer uma refeição muito grande.,Como Jesse se sentiria depois?,Como Jesse se sentiria depois?,Como se sentiria o Jesse depois?,sentindo-se muito doente e prestes a vomitar,sentir- se muito doente e prestes a desmontar,sentir-se muito doente e prestes a vomitar,muito feliz,muito feliz,Muito feliz.,uma dor de estômago,azia,dor de estômago,A
8970,Sydney começou o primeiro dia de seu primeiro emprego ontem.,Sydney iniciou o primeiro dia de trabalho ontem.,A Sydney começou o primeiro dia do primeiro emprego ontem.,Como os outros se sentiriam como resultado?,Como os outros se sentiriam como resultado?,Como se sentiriam os Outros?,perdido,Perdido,Perdido,maduros,≥1/ 1. 000 a < 1/ 1. 000 a < 1/ 1.,maduro,Um novo funcionário,um novo empregado,um novo empregado,C
8971,"Taylor disse aos pais de Kai que Kai disse algo de ódio, mesmo que o incidente nunca aconteceu.","Taylor contou aos pais Kai Kai que Kai disse algo oportuno, embora o incidente nunca tenha","Taylor disse aos pais do Kai que ele disse algo odioso, mesmo que o incidente nunca tenha acontecido.",O que Kai vai querer fazer a seguir?,O que o Kai quer fazer em seguida?,O que vai o Kai querer fazer a seguir?,Evite Kai,Evite Kai,Evite o Kai.,Admita sua culpa,admitirem a culpa,Admitem a culpa.,Diga a verdade,conta a verdade,Diz a verdade.,C
8972,Skylar pediu a Quinn para ver sua nova casa depois de redecorá-la no último fim de semana.,Skylar pediu para Quinn que a visitasse a casa nova após redecorar o último,A Skylar pediu à Quinn para ver a casa nova depois de a terem redecorado no fim de semana passado.,Como Quinn se sentiria como resultado?,Como senti-lo-ia Quinn?,Como se sentiria o Quinn?,Envergonhado da casa,Constrangidos com a casa,Envergonhado da casa,Envergonhar-se de si mesmo,vergonha de si,Envergonhados de si mesmos.,Orgulhosos de si mesmos,orgulha de si,orgulhosos de si mesmos.,C
8973,Kendall teve que comprar outro depois que seu cabo de telefone quebrou.,Kendall teve que comprar outra após o rompimento do cabo de telefone.,A Kendall teve de comprar outro depois de o cabo do telefone dela se ter avariado.,O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,Queria ter um telefone de trabalho,quis ter um telefone de trabalho,Queria ter um telefone a funcionar.,queria substituir o cabo quebrado,quis substituir o cabo quebrado,Queria substituir o cabo partido.,Ir para a loja,ir à loja,Vai à loja,C
8974,Austin estava com fome de manhã e queria algo para comer. Austin fez ovos mexidos.,"Austin estava com fome de manhã e queria comer, Austin fez ovos esbarrados.",O Austin estava com fome de manhã e queria comer alguma coisa.,Porque é que o Austin fez isso?,Por que o Austin fez isso?,Porque é que o Austin fez isso?,Coma um pouco de cereal,coma um pouco de cereais,Come cereais.,Coma os ovos,Comer os ovos,Come os ovos.,Faça algo rápido,fazer uma coisa rápida,Faça algo rápido.,C
8975,Aubrey colocou o bolo de outra forma.,"Aubrey colocou a torta de outra forma, foi a maneira errada.",A Aubrey pôs o bolo de outra forma.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,recomeçar,início,Começar de novo,Faça isso da maneira errada,fazer a maneira errada,Faça-o da maneira errada.,Havia outras coisas no forno,"houve outras coisas no forno, que não houve diferença entre as temperaturas, a temperatura e a temperatura",Havia outras coisas no forno.,A
8976,"Remy expressou seu arrependimento em voz alta, porque eles estavam muito chateados com o resultado do jogo.","Remy expressou sua arrependimento em alto grau de revolta, pois estavam muito insatisfeitos",A Remy expressou o seu pesar em voz alta porque estavam muito chateados com o resultado do jogo.,Por que Remy fez isso?,Por que a Remy fez isso?,Porque é que o Remy fez isto?,Tente acalmar Remy para baixo,tentar acalmar Remy,Tenta acalmar o Remy .,ter a outra equipe ganhar,ter a outra equipe vencedora,Faça a outra equipa ganhar.,perder o jogo,perder o jogo,Perder o jogo.,C
8977,Carson viu o filho de Quinn roubando itens da loja hoje cedo.,Carson viu o filho de Quinn fazendo o salto de itens da loja mais cedo hoje.,Carson viu o filho do Quinn a roubar coisas da loja hoje.,Como Quinn se sentiria como resultado?,Como senti-lo-ia Quinn?,Como se sentiria o Quinn?,piqued,piqued,acendida,envergonhada,án,envergonhado,Satisfeito,satisfeito,- Estou contente.,B
8978,Lee e seu amigo escreveram um livro e ele verificou os erros gramaticais.,Lee e sua amiga escreveram um livro e o verificaram para erros gramaticais.,A Lee e a amiga dela escreveram um livro e ele verificou-o para erros gramaticais.,Como você descreveria Lee?,Como descreveria Lee?,Como descreveria o Lee?,sabe como fazer a revisão,sabe revisor,Sabe como corrigir,Não quer ajudar seu amigo,não quer ajudar o amigo dele,Não quer ajudar o amigo.,não gosta de escrever,não gosta de escrever,Não gosta de escrever.,A
8979,Nolan estava se candidatando à escola de enfermagem e pediu a Lee uma carta de recomendação.,Nolan estava aplicando-se à escola de enfermagem e solicitou a Lee uma carta,O Nolan estava a candidatar-se à escola de enfermagem e pediu à Lee uma carta de recomendação.,O que Nolan precisava fazer antes disso?,O que o Nolan precisou antes disso?,O que é que o Nolan precisava de fazer antes disto?,fazer um bom trabalho para Lee para impressioná-los,fazer bons trabalhos para Lee para impressioná-los,Faça um bom trabalho para Lee impressioná-los .,O Nolan vai entrar na escola.,Nolan vai chegar à escola,O Nolan vai entrar na escola.,Acabar de ir para a faculdade de medicina,terminar indo para a faculdade de medicina,Acabar de ir para a faculdade de medicina,A
8980,Austin estava lá fora o dia todo brincando e estava suando.,Austin estava fora de todos os jogos e era sudorese.,O Austin tinha estado lá fora a jogar o dia todo e estava suado.,Por que Austin fez isso?,Por que o Austin?,Porque é que o Austin fez isto?,tomar um banho,tomar um banho,tomar um duche,Queria ser limpo,quis ser limpo,Queria ficar limpa.,Queria tirar uma soneca,quis tomar um cochilo,Queria dormir uma sesta .,C
8981,Carson manteve tudo junto quando viu sua ex-namorada entrar.,Carson o manteve junto quando viu sua ex-andada.,O Carson manteve-se firme quando viu a ex-namorada entrar.,Como Carson se sentiria depois?,Como senti-lo-ia depois?,Como é que o Carson se sentiria depois?,Nervoso em ver Carson,nervosismo em ver Carson,Estou nervoso por ver o Carson .,nervoso,nervosismo,nervoso,Entusiasmado que Carson estava lá,vergonha de que Carson estava lá,irritado que Carson estava lá,B
8982,"Como a colina que eles estavam montando era incrivelmente íngreme e longa, Kendall perdeu o controle de sua moto.","Como o morro estava deitado era incansável e longo, Kendall perdeu","Como a colina que desciam era incrivelmente íngreme e longa, Kendall perdeu o controle da bicicleta.",O que Kendall vai querer fazer a seguir?,O que queremos por Kendall?,O que é que a Kendall vai querer fazer a seguir?,perder o controle,controlo de perdas,Perder o controlo,colocar nos freios e tentar ganhar o controle da bicicleta,Colocar os freios e tentar ganhar o controle da bicicleta,Põe os travões e tenta controlar a bicicleta .,ir muito rápido,riz,Vai muito depressa.,B
8983,Riley fugiu de Casey porque ele tinha uma arma de água.,Riley saiu de Casey porque tinha uma arma de fogo.,O Riley fugiu do Casey porque tinha uma arma de água.,O que vai acontecer com Riley?,O que acontecerá com Riley?,O que vai acontecer ao Riley?,ficar louco,enjoado,- Não te preocupes.,pode ficar molhado,pode ficar molhada,Pode molhar-se .,parar de correr,parar de correr,Pára de correr.,B
8984,Ash trouxe dois sacos de batatas fritas para sua empresa na quinta-feira.,Ash trouxe dois sacos de fita para sua empresa na quinta-feira.,O Ash trouxe dois sacos de batatas fritas para a festa da empresa na quinta-feira.,O que seus colegas de trabalho vão querer fazer a seguir?,O que os colegas querem fazer a seguir?,O que os colegas dele vão querer fazer a seguir?,Sair para o almoço,sai para o almoço,sair para almoçar,comprar os sacos de batatas fritas,compra dos sacos de chip,Compre os sacos de batatas fritas.,Traga sua própria comida,tragam os seus próprios alimentos,Trazem a sua própria comida.,C
8985,O Ash recebeu o nome do Quinn de alguns amigos deles.,Ash ganhou o nome de Quinn de alguns amigos de seus.,O Ash arranjou o nome do Quinn de alguns amigos deles.,O que vai acontecer com Quinn?,O que acontecerá com Quinn?,O que vai acontecer ao Quinn?,Juntem-se,án,juntem-se,Desconsiderem-se uns aos outros,desconsideração,Não se respeitam um ao outro.,Seja distante,ser a distância,Não se afaste .,A
8986,Kai definiu as roupas de Casey no artigo na revista de moda quando ela foi entrevistada.,Kai definiu as roupas de Casey no artigo da revista de moda quando foi entrevistada.,Kai definiu as roupas da Casey no artigo da revista de moda quando ela foi entrevistada.,O que Casey vai querer fazer a seguir?,O que queremos com Casey?,O que vai querer fazer o Casey a seguir?,fogo Kai,Fogo Kai,fogo Kai,Queime a revista,queimar a revista,Queima a revista.,leia o artigo,leia o artigo,Leia o artigo,C
8987,"Depois de um longo dia de trabalho, Remy levantou os pés e tentou relaxar.","Depois de um longo dia de trabalho, Remy colou os pés e tentou relaxar.","Depois de um longo dia de trabalho, o Remy levantou os pés e tentou relaxar.",O que Remy vai querer fazer a seguir?,O que queremos?,O que é que o Remy vai querer fazer a seguir?,tirar uma soneca,tomar um colírio,"- Não, não.",fazer mais trabalho,fazer mais trabalho,Faça mais trabalho,ir para o trabalho,ir trabalhar,Vai trabalhar.,A
8988,Aubrey encontrou uma nova casa e decidiu comprá-la com seu dinheiro.,Aubrey encontrou uma nova casa e decidiu comprá-la com o dinheiro.,A Aubrey encontrou uma nova casa e decidiu comprá-la com o dinheiro deles.,Como Aubrey se sentiria depois?,Como se sentiria Aubrey depois?,Como é que o Aubrey se sentiria depois?,muito irritado,Muito raiva,muito zangado,muito feliz,muito glóbulo,Muito feliz.,interessados e motivados,interessada e motivada,interessados e motivados,B
8989,Kendall contou à mãe de Sydney sobre isso quando ela estava na traseira terminou em seu carro.,Kendall contou a mãe de Sydney a respeito dela quando ela estava atrás terminada em seu carro,A Kendall contou à mãe da Sydney quando ela estava no carro.,Como você descreveria Kendall?,Como descrever Kendall?,Como descreveria a Kendall?,amassado,denteado,emborrachado,Perturbado com o seu carro,tonturas com o seu carro,- Estou chateada com o carro dela.,Entusiasmado com o carro,náusea,Estou entusiasmado com o carro.,B
8990,Alex morava na área de Casey com várias de suas irmãs da irmandade e frequentava aulas para estudar moda.,Alex morava na área de Casey com várias irmãs de sorologia e frequentava aulas para estudar moda,Alex morava na área de Casey com várias de suas irmãs da irmandade e frequentava aulas para estudar moda.,Como você descreveria Alex?,Como descrever Alex?,Como descreveria o Alex?,um estudante de moda,um aluno de moda,Um estudante de moda,feliz de viver com suas irmãs irmandade,feliz viver com suas irmãs de sororidade,Feliz por viver com as irmãs da sua irmandade .,empolgada para passar o ano com suas irmãs da irmandade,excitado a passar o ano com suas irmãs de sororidade,Estou entusiasmada por passar o ano com as irmãs da sua irmandade .,A
8991,Alex fez contato visual com Sydney e perguntou o que ela queria.,Alex fez contato ocular com Sydney e perguntou o que queria.,Alex fez contato visual com Sydney e perguntou-lhe o que ela queria.,Porque é que o Alex fez isto?,Por que o Alex fez isso?,Porque é que a Alex fez isto?,Seja direto,ser apto,seja franco,Seja submisso,ser submisso,ser submissos,Seja tímido,ser tímido,ser tímido,A
8992,"Bailey conseguiu o bilhete da Jordan, já que a Jordan não conseguia sair do trabalho cedo o suficiente para o conseguir.","Bailey chegou ao bilhete de Jordan, pois o Jordan não conseguiu sair de trabalho o suficiente para se","O Bailey conseguiu o bilhete da Jordan, já que o Jordan não conseguiu sair do trabalho cedo o suficiente para o conseguir.",O que Bailey precisa fazer antes disso?,O que é necessário para Bailey antes disso?,O que é que a Bailey precisa de fazer antes disto?,queria ir para o jogo com a Jordânia,quis ir ao jogo com a Jordânia,Queria ir ao jogo com a Jordan.,Queria ir ao concerto com a Jordan.,quis ir ao concerto com a Jordânia,Queria ir ao concerto com a Jordan.,Saiba onde está o bilhete,Saber onde o bilhete é,Saber onde está o bilhete,C
8993,Jan levou sua data para almoçar em um café muito sofisticado. A comida tinha um sabor maravilhoso.,"Jan tomou a data para almoço em uma festa de grande escala, o alimento foi maravilhos",Jan levou o seu par para almoçar num café muito luxuoso.,Como Jan se sentiria depois?,Como se sentiria Jan depois?,Como se sentiria Jan depois?,Desiludido,decepção,Desiludido.,Maravilhoso,maravilhosa,Maravilhoso.,Perturbado,tonturas,desanimado,B
8994,"A Bailey viu uma aranha a rastejar até à cerca e queria esmagá-la, mas deixou-a em paz.","Bailey viu uma aranha que caiu a cerca, Bailey queria squishá-la,","O Bailey viu uma aranha a subir pela cerca, queria esmagá-la, mas deixou-a em paz.",Como você descreveria Bailey?,Como descreveria Bailey?,Como descreveria a Bailey?,uma pessoa má,uma pessoa média,Uma pessoa má.,uma pessoa agradável,uma pessoa bonita,Uma pessoa simpática.,ptimo.,boa,- É bom.,B
8995,Remy decidiu comprar o almoço para toda a equipe de trabalho.,Remy decidiu comprar almoço para toda a equipe de trabalho.,O Remy decidiu pagar o almoço para toda a equipa de trabalho.,O que Remy precisa fazer antes disso?,O que é necessário fazer por Remy antes disso?,O que é que o Remy precisa de fazer antes disto?,ir para casa,ir para casa,Vai para casa.,estar no trabalho,estar em trabalho,estar no trabalho,Seja demitido,enfarte do miocárdio,ser despedido.,B
8996,Casey defendeu todas as acusações por coisas que eles fizeram quando assumiram o projeto de desenvolvimento.,Casey defendeu toda acusação de que faziam quando assumiram o projeto de desenvolvimento.,O Casey defendeu todas as acusações por coisas que fizeram quando assumiram o projeto de desenvolvimento.,Como Casey se sentiria depois?,Como se sentiria Casey depois?,Como é que o Casey se sentiria depois?,Bom no debate,boa posição no debate,bom em debate,desafiada,Desafio,desafiado,sentimental,sentimental,sentimentais,A
8997,"Ash comeu o almoço sozinho, mas foi ok, porque eles preferiram assim.","Ela comia o almoço sozinho, mas era oportuno, porque preferiam isso.","O Ash almoçou sozinho, mas não foi problema, porque preferiram assim.",Como você descreveria Ash?,Como descreveria Ash?,Como descreveria o Ash?,um isolacionista autocontido,um isolista autocontido,Um isolacionista auto-contenido,Uma pessoa que gosta de socializar,uma pessoa que gosta de socializar,uma pessoa que gosta de socializar,muito solitário,Muito solitário,muito solitário,A
8998,"Era hora de sair do parque de diversões no final da noite, mas Austin não queria sair.","Era o momento de sair do parque de diversão no final da noite, mas Austin não queria sair","Era hora de sair do parque de diversões no final da noite, mas Austin não queria sair.",Como Austin se sentiria depois?,Como se sentiria Austin depois?,Como é que o Austin se sentiria depois?,Adorei o parque de diversões,amava o parque de diversões,Adorava o parque de diversões.,Como os tempos mais divertidos estão à frente,Como mais tempo de diversão está à frente,Como se houvesse mais momentos divertidos à frente,Incomodado em sair,Cefaleia,Infeliz por ir embora .,C
8999,"Enquanto todos os outros estavam desistindo, Sydney continuou o curso.","Enquanto todos estavam desistindo, Sydney permaneceu o curso.","Enquanto todos os outros desistiam, Sydney manteve-se no curso.",Como você descreveria Sydney?,Como descreveria Sydney?,Como descreveria Sydney?,Como um campeão,como um campeonato,Como um campeão.,melhor do que todos os outros,melhor que todos,Melhor do que todos os outros.,Motivação,motivado,motivado,C
9000,Sasha era muito tímida e nunca teve muitos amigos. Ela decidiu se juntar a alguns depois dos clubes escolares e se envolver no basquete e agora ela fez muitos bons amigos na escola.,"Sasha era muito tímido e nunca tinha muitos amigos, decidiu aderir a poucos clubes de",Sasha era muito tímida e nunca tinha muitos amigos. Ela decidiu participar de alguns clubes após a escola e se envolver no basquete e agora ela fez muitos bons amigos na escola.,O que Sasha precisa fazer antes disso?,O que é necessário para que Sasha possa fazer antes disso?,O que é que o Sasha precisa de fazer antes disto?,Fique em casa no Facebook o dia todo,ficar em casa no Facebook durante todo o dia,Fica em casa no Facebook o dia todo.,Supere sua timidez,Supera a sua tímido,Superar a timidez dela,jogar mais basquete,jogar mais bola de basquete,jogar mais basquetebol,B
9001,Lee cozinhou uma pizza para todos os seus amigos em uma festa de aniversário.,Lee coziu uma pizza para todos os amigos de uma festa de aniversário.,Lee fez uma pizza para todos os amigos dela numa festa de aniversário.,O que Lee precisa fazer antes disso?,O que Lee precisa fazer antes disso?,O que é que o Lee precisa de fazer antes disto?,ajude a pessoa de aniversário a abrir presentes,ajudar o diabético a abrir presentes,Ajudar a pessoa de aniversário a abrir presentes,cantar feliz aniversário,cantar feliz ao nascer,Canta feliz aniversário,comprar ingredientes,ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad ad,comprar ingredientes,C
9002,"O Austin fez a Addison dizer o anúncio, a Addison não ficou contente por ser o tipo da queda.","Austin fez com que Addison dissesse o anúncio, não se contentou com o","O Austin fez a Addison fazer o anúncio, mas ela não ficou feliz por ser o bode expiatório.",O que Addison vai querer fazer a seguir?,O que queremos com Addison?,O que é que a Addison vai querer fazer a seguir?,Tenha uma conversa com Austin,ter uma conversa com Austin,Falar com o Austin .,Seja livre em seu relacionamento,ser livre em sua relação,ser livre na relação dele,Deixa-o ir.,Só que aconteça,Deixa-o ir.,A
9003,Cameron passou livros de lei de Taylor para que ela pudesse lê-los.,Cameron passou os livros de direito de Taylor para que pudesse lê-los.,A Cameron passou os livros de direito da Taylor para que ela pudesse lê-los.,Por que Cameron fez isso?,Por que Cameron fez isso?,Porque é que a Cameron fez isto?,Tire seus livros para fora,sair de seus livros,Leva os livros dela .,Não gostei dela,não gostava dela,Não gostava dela.,Estudar em conjunto,án,Estudar juntos,C
9004,Aubrey teve que ir à loja buscar coisas para o jantar.,Aubrey teve que ir à loja para conseguir as coisas para jantar.,A Aubrey teve de ir à loja comprar coisas para jantar.,O que Aubrey vai querer fazer a seguir?,O que queremos com Aubrey?,O que é que o Aubrey vai querer fazer a seguir?,fazer o jantar,fazer jantar,Faça o jantar.,Faça uma lista de compras,fazer uma lista de compras,Faça uma lista de compras,Pense em casa,pensar em casa,Pensa no teu lar.,A
9005,Ash tinha um pé quebrado e não podia fazer certas tarefas no trabalho. Aubrey cumpriu o dever de Ash para ela.,Ash tinha um pé quebrado e não podia fazer certas tarefas no trabalho. Aubrey exercia o,A Ash tinha um pé partido e não podia fazer certas tarefas no trabalho.,Como você descreveria Aubrey?,Como descreveria Aubrey?,Como descreveria o Aubrey?,Uma pessoa que gosta de ajudar os outros,uma pessoa que gosta de ajudar os outros,uma pessoa que gosta de ajudar os outros,falhar a todos,nã,Falhar com todos.,Alguém que odeia ajudar os outros, alguém que odeia por ajudar os outros,Alguém que odeia ajudar os outros.,A
9006,"Austin assistiu a um movimento muito triste e percebeu que eles estavam ficando tristes, então eles correram com seu melhor amigo para animá-los.","Austin assistiu a um movimento muito triste e percebeu que estava ficando triste, de modo que correram","O Austin viu um movimento muito triste e percebeu que estavam a ficar tristes, por isso correram para o melhor amigo para os animar.",O que Austin precisa fazer antes disso?,O que é necessário para Austin antes disso?,O que é que o Austin precisa de fazer antes disto?,Vi um movimento muito triste,assistiu um movimento muito triste,Vi um movimento muito triste,Cancele seu filme,anular a película,cancelem o filme deles.,Escolha seu filme,optam por seu filme,Escolha o filme deles.,A
9007,Cameron deu aos seus alunos na sala de aula tempo extra para terminar o teste.,Cameron deu tempo extra para que os alunos concluíssem o teste.,Cameron deu aos alunos da sala de aula tempo extra para terminar o teste.,Como você descreveria Cameron?,Como descrever Cameron?,Como descreveria a Cameron?,irritados eles não tinham concluído a tempo,irritados não o completaram no momento,irritado por não terem terminado a tempo.,feliz que eles o entregaram no segundo prazo,felizes a transformaram no segundo prazo,Estou feliz por terem entregado o segundo prazo.,Cuidando de seus alunos,cuidar de seus alunos,cuidando dos alunos,C
